Team,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
ARI,29.666666666666668,80.95238095238095,254.14285714285714,37.714285714285715,66.0,13.523809523809524,1.8571428571428572,10.238095238095237,35.95238095238095,4.142857142857143,0.6666666666666666,25.38095238095238,57.857142857142854,0.23809523809523808,1.8571428571428572,3.3333333333333335,0.23233333333333336,0.3065714285714286,0.4037619047619047,0.7103333333333335
ATL,29.8,83.3,262.65,41.95,70.05,13.55,1.45,12.45,40.5,4.45,1.4,30.55,65.4,0.15,1.7,2.9,0.23754999999999998,0.31415,0.42060000000000014,0.73475
BAL,27.875,70.70833333333333,232.54166666666666,30.333333333333332,57.416666666666664,10.5,1.0416666666666667,8.875,29.083333333333332,3.5,1.25,19.208333333333332,59.583333333333336,0.7916666666666666,1.5416666666666667,2.9583333333333335,0.2104166666666667,0.2808333333333334,0.34195833333333336,0.6227916666666667
BOS,29.857142857142858,79.0952380952381,273.76190476190476,42.80952380952381,73.95238095238095,16.428571428571427,1.2857142857142858,11.666666666666666,40.76190476190476,3.238095238095238,1.4285714285714286,28.095238095238095,65.28571428571429,0.8571428571428571,2.0952380952380953,2.3333333333333335,0.22938095238095238,0.29938095238095236,0.3753809523809523,0.6747619047619048
CHC,29.391304347826086,73.47826086956522,224.08695652173913,34.869565217391305,58.21739130434783,11.434782608695652,1.1304347826086956,11.08695652173913,33.04347826086956,1.9565217391304348,1.0434782608695652,24.695652173913043,57.26086956521739,0.30434782608695654,1.608695652173913,3.5217391304347827,0.22160869565217392,0.3001304347826087,0.3899565217391304,0.6900869565217392
CIN,29.47826086956522,75.26086956521739,223.0,29.652173913043477,55.869565217391305,10.0,1.1304347826086956,9.782608695652174,28.956521739130434,3.260869565217391,1.565217391304348,20.956521739130434,55.78260869565217,0.08695652173913043,1.434782608695652,3.869565217391304,0.2485217391304348,0.32130434782608697,0.4189130434782609,0.7402173913043479
CLE,28.807692307692307,63.07692307692308,208.0,29.576923076923077,52.03846153846154,11.0,0.6923076923076923,8.576923076923077,28.115384615384617,3.9615384615384617,1.3461538461538463,21.653846153846153,50.84615384615385,1.4615384615384615,1.7692307692307692,1.9230769230769231,0.20365384615384616,0.27565384615384614,0.3523461538461538,0.628
COL,29.428571428571427,80.66666666666667,256.9047619047619,39.0,69.80952380952381,15.19047619047619,1.9047619047619047,10.666666666666666,37.19047619047619,3.380952380952381,1.4761904761904763,22.666666666666668,65.42857142857143,0.42857142857142855,2.0476190476190474,2.0476190476190474,0.23323809523809522,0.2936666666666667,0.4023333333333333,0.696
CWS,28.59090909090909,73.45454545454545,250.5,32.18181818181818,65.54545454545455,11.818181818181818,0.9090909090909091,8.272727272727273,30.636363636363637,2.8636363636363638,1.2727272727272727,17.181818181818183,69.86363636363636,1.5454545454545454,1.4545454545454546,3.0,0.22872727272727278,0.28709090909090906,0.3507272727272728,0.637818181818182
DET,28.636363636363637,71.77272727272727,251.1818181818182,26.363636363636363,60.40909090909091,13.272727272727273,1.8636363636363635,6.7727272727272725,25.272727272727273,2.590909090909091,0.9090909090909091,17.772727272727273,71.81818181818181,0.4090909090909091,1.9090909090909092,2.1818181818181817,0.2160454545454546,0.2700000000000001,0.3472272727272727,0.6172272727272727
HOU,28.904761904761905,79.04761904761905,266.3809523809524,43.76190476190476,73.19047619047619,15.380952380952381,1.3333333333333333,13.714285714285714,42.42857142857143,3.1904761904761907,1.2380952380952381,30.666666666666668,55.0,0.42857142857142855,2.7142857142857144,3.142857142857143,0.25061904761904763,0.32866666666666666,0.44709523809523805,0.7757619047619048
KC,28.125,66.29166666666667,228.20833333333334,28.791666666666668,56.416666666666664,11.708333333333334,1.6666666666666667,6.75,27.25,4.875,1.625,18.958333333333332,58.208333333333336,0.9166666666666666,1.75,2.4583333333333335,0.22770833333333332,0.28987500000000005,0.34808333333333347,0.6379583333333334
LAA,29.74074074074074,62.111111111111114,204.59259259259258,28.48148148148148,50.629629629629626,9.925925925925926,0.7777777777777778,8.148148148148149,27.185185185185187,2.4074074074074074,0.7407407407407407,21.666666666666668,46.96296296296296,0.14814814814814814,1.5555555555555556,2.4814814814814814,0.1995555555555556,0.27670370370370373,0.33462962962962955,0.6113333333333334
LAD,29.5,77.45454545454545,236.0909090909091,39.5,62.13636363636363,13.409090909090908,0.9090909090909091,12.590909090909092,38.36363636363637,2.590909090909091,0.45454545454545453,27.0,56.18181818181818,0.09090909090909091,2.0454545454545454,3.6818181818181817,0.22840909090909098,0.303,0.41181818181818175,0.7148181818181819
MIA,29.48,67.84,210.08,24.24,51.92,10.4,0.72,5.84,23.28,2.2,1.2,15.56,52.64,0.32,1.32,2.84,0.22135999999999995,0.27552000000000004,0.34787999999999997,0.6234000000000001
MIL,29.238095238095237,83.52380952380952,250.95238095238096,36.04761904761905,63.285714285714285,12.904761904761905,0.8095238095238095,11.80952380952381,34.76190476190476,4.809523809523809,1.1904761904761905,29.523809523809526,67.42857142857143,0.23809523809523808,1.8095238095238095,3.4285714285714284,0.229952380952381,0.3174761904761905,0.41461904761904755,0.7320952380952381
MIN,28.9,81.75,285.9,46.85,77.35,15.9,1.15,15.35,45.3,1.4,1.05,26.15,66.3,0.35,2.05,4.05,0.25399999999999995,0.32715000000000005,0.4559,0.78305
NYM,30.083333333333332,74.0,221.25,32.083333333333336,58.041666666666664,11.458333333333334,0.7083333333333334,9.833333333333334,31.25,2.3333333333333335,1.125,21.041666666666668,51.916666666666664,0.4583333333333333,1.0833333333333333,3.875,0.2020833333333334,0.2702083333333333,0.34204166666666663,0.6122500000000002
NYY,29.541666666666668,66.91666666666667,231.70833333333334,39.25,62.208333333333336,12.083333333333334,0.7083333333333334,12.75,37.625,2.2916666666666665,0.9166666666666666,23.708333333333332,59.208333333333336,0.25,1.375,2.0416666666666665,0.24591666666666676,0.32170833333333326,0.4483333333333334,0.7700416666666668
